Server_Region,GPU_Hardware,User_Tier,Primary_Workload,Termination_Reason,Session_Duration_Hours,Avg_Compute_Utilization_Pct,RAM_Allocated_GB,Network_Bandwidth_Used_GB,Total_Cost_USD,Session_Start_Date,Session_End_Date
ap-southeast-1,T4,Enterprise,Relational Database,Hardware_Fault,54.7,62,128,5.17,110.47,2026-04-19 01:00:00,2026-04-21 07:42:00
us-east-1,CPU-Only,Pro,Web App Hosting,CUDA_Out_Of_Memory,66.9,55,16,247.32,130.2,2026-03-02 23:13:00,2026-03-05 18:07:00
ap-southeast-1,CPU-Only,Free,Web App Hosting,Out_of_Credit,42.0,58,64,40.13,89.21,2026-01-23 09:44:00,2026-01-25 03:44:00
ap-southeast-1,CPU-Only,Pro,Web App Hosting,CUDA_Out_Of_Memory,16.0,75,32,85.42,112.01,2026-02-17 13:39:00,2026-02-18 05:39:00
ap-southeast-1,T4,Enterprise,PyTorch Training,Out_of_Credit,33.3,35,16,131.31,52.43,2026-03-15 11:06:00,2026-03-16 20:24:00
us-east-1,CPU-Only,Free,Relational Database,Out_of_Credit,7.6,57,16,11.58,94.8,2026-03-16 02:43:00,2026-03-16 10:19:00
us-east-1,RTX 4090,Free,ComfyUI / Stable Diffusion,Out_of_Credit,16.4,37,128,249.23,25.12,2026-01-22 07:48:00,2026-01-23 00:12:00
eu-central-1,A100 80GB,Enterprise,Relational Database,Hardware_Fault,63.6,2,32,164.18,1.89,2026-03-26 07:42:00,2026-03-28 23:18:00
us-east-1,T4,Pro,ComfyUI / Stable Diffusion,Out_of_Credit,20.1,31,16,56.02,31.65,2026-04-17 09:36:00,2026-04-18 05:42:00
us-east-1,CPU-Only,Free,Web App Hosting,CUDA_Out_Of_Memory,43.3,39,128,189.94,133.55,2026-01-01 22:57:00,2026-01-03 18:15:00
ap-southeast-1,RTX 4090,Enterprise,PyTorch Training,Out_of_Credit,17.3,51,128,96.59,95.28,2026-04-15 16:06:00,2026-04-16 09:24:00
ap-southeast-1,RTX 4090,Pro,ComfyUI / Stable Diffusion,CUDA_Out_Of_Memory,47.6,38,16,197.9,32.85,2026-02-19 07:04:00,2026-02-21 06:40:00
us-east-1,T4,Free,Relational Database,Out_of_Credit,45.6,71,32,187.37,91.53,2026-04-11 11:20:00,2026-04-13 08:56:00
eu-central-1,A100 80GB,Pro,Web App Hosting,Hardware_Fault,12.8,21,32,74.48,59.98,2026-04-06 17:20:00,2026-04-07 06:08:00
eu-central-1,T4,Free,Web App Hosting,User_Stopped,55.4,8,32,160.16,122.5,2026-02-07 01:25:00,2026-02-09 08:49:00
ap-southeast-1,RTX 4090,Enterprise,Web App Hosting,User_Stopped,23.6,19,16,121.58,112.31,2026-04-20 13:00:00,2026-04-21 12:36:00
ap-southeast-1,CPU-Only,Enterprise,Relational Database,Out_of_Credit,40.9,21,128,71.83,115.27,2026-01-28 08:55:00,2026-01-30 01:49:00
ap-southeast-1,RTX 4090,Pro,ComfyUI / Stable Diffusion,Hardware_Fault,59.5,22,32,117.15,134.76,2026-04-13 15:47:00,2026-04-16 03:17:00
ap-southeast-1,RTX 4090,Free,Relational Database,Hardware_Fault,29.1,59,64,180.89,45.52,2026-04-18 01:47:00,2026-04-19 06:53:00
ap-southeast-1,RTX 4090,Pro,Web App Hosting,User_Stopped,16.8,36,128,169.59,69.45,2026-04-13 12:54:00,2026-04-14 05:42:00
eu-central-1,RTX 4090,Enterprise,PyTorch Training,Hardware_Fault,53.9,51,16,149.98,131.32,2026-03-07 10:36:00,2026-03-09 16:30:00
us-east-1,A100 80GB,Pro,ComfyUI / Stable Diffusion,User_Stopped,53.6,15,128,171.17,44.26,2026-03-14 06:41:00,2026-03-16 12:17:00
us-east-1,CPU-Only,Enterprise,Web App Hosting,Hardware_Fault,12.8,67,32,211.29,43.1,2026-03-24 22:34:00,2026-03-25 11:22:00
ap-southeast-1,A100 80GB,Pro,ComfyUI / Stable Diffusion,Out_of_Credit,1.4,29,64,230.87,32.15,2026-04-08 06:30:00,2026-04-08 07:54:00
ap-southeast-1,RTX 4090,Enterprise,Web App Hosting,CUDA_Out_Of_Memory,39.3,37,128,181.06,119.72,2026-02-26 10:56:00,2026-02-28 02:14:00
eu-central-1,T4,Enterprise,ComfyUI / Stable Diffusion,CUDA_Out_Of_Memory,20.4,30,16,154.53,144.83,2026-02-25 12:42:00,2026-02-26 09:06:00
eu-central-1,T4,Pro,ComfyUI / Stable Diffusion,Out_of_Credit,48.7,72,128,201.82,36.23,2026-01-28 02:32:00,2026-01-30 03:14:00
us-east-1,RTX 4090,Enterprise,Relational Database,User_Stopped,34.7,82,64,110.19,55.03,2026-01-22 21:02:00,2026-01-24 07:44:00
ap-southeast-1,RTX 4090,Enterprise,PyTorch Training,Out_of_Credit,65.6,6,32,124.48,33.9,2026-03-28 12:44:00,2026-03-31 06:20:00
ap-southeast-1,A100 80GB,Pro,Web App Hosting,Out_of_Credit,54.9,9,128,154.48,53.38,2026-03-01 14:56:00,2026-03-03 21:50:00
eu-central-1,A100 80GB,Enterprise,ComfyUI / Stable Diffusion,CUDA_Out_Of_Memory,54.0,57,128,226.4,131.66,2026-01-17 06:47:00,2026-01-19 12:47:00
us-east-1,A100 80GB,Pro,PyTorch Training,User_Stopped,5.6,25,16,119.81,115.94,2026-04-07 07:06:00,2026-04-07 12:42:00
eu-central-1,T4,Pro,Web App Hosting,Hardware_Fault,23.0,37,16,242.3,129.99,2026-03-26 04:37:00,2026-03-27 03:37:00
eu-central-1,RTX 4090,Free,PyTorch Training,Hardware_Fault,64.9,80,64,100.41,3.5,2026-02-28 00:31:00,2026-03-02 17:25:00
us-east-1,RTX 4090,Free,PyTorch Training,Out_of_Credit,40.7,23,64,61.88,18.64,2026-01-13 19:02:00,2026-01-15 11:44:00
us-east-1,T4,Enterprise,PyTorch Training,Hardware_Fault,30.1,56,64,248.66,79.95,2026-02-21 19:55:00,2026-02-23 02:01:00
us-east-1,CPU-Only,Enterprise,Web App Hosting,Hardware_Fault,33.9,91,64,93.87,93.2,2026-02-01 19:15:00,2026-02-03 05:09:00
us-east-1,CPU-Only,Pro,ComfyUI / Stable Diffusion,CUDA_Out_Of_Memory,49.4,88,16,123.71,142.85,2026-03-01 14:36:00,2026-03-03 16:00:00
ap-southeast-1,T4,Pro,PyTorch Training,User_Stopped,47.5,88,32,4.22,138.83,2026-02-07 00:33:00,2026-02-09 00:03:00
ap-southeast-1,T4,Free,ComfyUI / Stable Diffusion,Out_of_Credit,59.6,56,16,161.87,62.04,2026-04-05 11:29:00,2026-04-07 23:05:00
us-east-1,RTX 4090,Free,Relational Database,Out_of_Credit,52.7,84,16,70.85,99.9,2026-03-02 17:19:00,2026-03-04 22:01:00
us-east-1,T4,Free,PyTorch Training,CUDA_Out_Of_Memory,36.0,19,128,199.13,125.89,2026-04-06 05:04:00,2026-04-07 17:04:00
ap-southeast-1,A100 80GB,Enterprise,ComfyUI / Stable Diffusion,Hardware_Fault,33.5,93,16,121.93,9.8,2026-02-09 23:56:00,2026-02-11 09:26:00
ap-southeast-1,RTX 4090,Enterprise,PyTorch Training,Out_of_Credit,1.4,45,16,67.73,130.08,2026-02-15 16:10:00,2026-02-15 17:34:00
ap-southeast-1,A100 80GB,Free,Web App Hosting,Out_of_Credit,66.5,48,64,152.68,41.0,2026-04-14 22:37:00,2026-04-17 17:07:00
eu-central-1,A100 80GB,Pro,PyTorch Training,Hardware_Fault,6.7,2,16,225.31,120.4,2026-03-14 21:53:00,2026-03-15 04:35:00
ap-southeast-1,T4,Pro,PyTorch Training,Out_of_Credit,42.2,58,64,53.03,90.57,2026-02-26 15:24:00,2026-02-28 09:36:00
ap-southeast-1,A100 80GB,Pro,Relational Database,CUDA_Out_Of_Memory,53.3,47,16,120.37,135.05,2026-04-07 09:49:00,2026-04-09 15:07:00
eu-central-1,RTX 4090,Pro,ComfyUI / Stable Diffusion,CUDA_Out_Of_Memory,62.5,46,64,209.33,95.55,2026-04-22 17:36:00,2026-04-25 08:06:00
us-east-1,CPU-Only,Free,Web App Hosting,Out_of_Credit,30.4,4,64,120.15,102.82,2026-04-14 23:26:00,2026-04-16 05:50:00
ap-southeast-1,RTX 4090,Free,ComfyUI / Stable Diffusion,Hardware_Fault,6.6,17,32,19.97,43.52,2026-02-20 01:18:00,2026-02-20 07:54:00
us-east-1,A100 80GB,Enterprise,ComfyUI / Stable Diffusion,CUDA_Out_Of_Memory,16.2,6,128,168.17,43.1,2026-01-02 07:21:00,2026-01-02 23:33:00
us-east-1,RTX 4090,Pro,ComfyUI / Stable Diffusion,Hardware_Fault,63.3,57,128,126.22,58.69,2026-04-12 21:15:00,2026-04-15 12:33:00
eu-central-1,T4,Free,Relational Database,User_Stopped,35.2,50,128,129.23,4.04,2026-02-14 13:24:00,2026-02-16 00:36:00
us-east-1,T4,Enterprise,Relational Database,CUDA_Out_Of_Memory,59.1,41,32,94.12,92.35,2026-04-30 14:59:00,2026-05-03 02:05:00
ap-southeast-1,CPU-Only,Free,Relational Database,CUDA_Out_Of_Memory,60.8,72,32,240.13,77.21,2026-04-12 12:48:00,2026-04-15 01:36:00
us-east-1,CPU-Only,Pro,PyTorch Training,User_Stopped,20.1,2,16,85.44,85.25,2026-04-09 20:53:00,2026-04-10 16:59:00
us-east-1,CPU-Only,Enterprise,PyTorch Training,Hardware_Fault,27.3,83,64,60.3,13.72,2026-04-26 02:07:00,2026-04-27 05:25:00
us-east-1,CPU-Only,Pro,Web App Hosting,Hardware_Fault,69.9,95,32,98.54,88.83,2026-01-20 11:33:00,2026-01-23 09:27:00
us-east-1,T4,Free,ComfyUI / Stable Diffusion,Hardware_Fault,17.4,52,128,196.05,128.38,2026-03-31 21:40:00,2026-04-01 15:04:00
us-east-1,CPU-Only,Free,PyTorch Training,CUDA_Out_Of_Memory,9.3,80,16,237.63,6.92,2026-01-22 20:53:00,2026-01-23 06:11:00
eu-central-1,RTX 4090,Free,Web App Hosting,CUDA_Out_Of_Memory,36.1,6,32,87.76,33.9,2026-04-26 06:31:00,2026-04-27 18:37:00
us-east-1,RTX 4090,Free,Relational Database,Hardware_Fault,41.5,41,16,117.52,1.07,2026-04-18 22:43:00,2026-04-20 16:13:00
ap-southeast-1,T4,Pro,PyTorch Training,Hardware_Fault,18.6,27,32,210.85,18.86,2026-03-11 21:50:00,2026-03-12 16:26:00
ap-southeast-1,RTX 4090,Enterprise,PyTorch Training,CUDA_Out_Of_Memory,44.5,9,64,62.9,92.67,2026-04-06 05:14:00,2026-04-08 01:44:00
ap-southeast-1,A100 80GB,Enterprise,ComfyUI / Stable Diffusion,Out_of_Credit,57.1,25,64,169.84,30.71,2026-04-24 23:10:00,2026-04-27 08:16:00
ap-southeast-1,A100 80GB,Free,Relational Database,Out_of_Credit,53.0,51,16,49.45,61.59,2026-04-28 11:18:00,2026-04-30 16:18:00
ap-southeast-1,T4,Enterprise,Web App Hosting,User_Stopped,62.7,16,128,12.5,144.77,2026-01-04 11:07:00,2026-01-07 01:49:00
us-east-1,A100 80GB,Pro,PyTorch Training,Out_of_Credit,6.6,50,32,166.51,10.04,2026-02-05 08:22:00,2026-02-05 14:58:00
eu-central-1,RTX 4090,Enterprise,Relational Database,CUDA_Out_Of_Memory,12.5,50,32,115.31,123.64,2026-01-27 23:57:00,2026-01-28 12:27:00
us-east-1,RTX 4090,Enterprise,Web App Hosting,User_Stopped,23.0,75,16,86.92,19.67,2026-04-03 19:07:00,2026-04-04 18:07:00
ap-southeast-1,T4,Pro,PyTorch Training,User_Stopped,49.0,17,16,180.99,134.43,2026-01-08 20:01:00,2026-01-10 21:01:00
ap-southeast-1,T4,Free,Web App Hosting,Hardware_Fault,68.2,24,64,232.96,8.2,2026-03-04 21:13:00,2026-03-07 17:25:00
us-east-1,T4,Enterprise,Web App Hosting,Hardware_Fault,70.3,57,16,64.4,87.39,2026-01-31 14:22:00,2026-02-03 12:40:00
us-east-1,CPU-Only,Pro,Relational Database,CUDA_Out_Of_Memory,30.7,86,32,232.22,106.56,2026-04-13 18:23:00,2026-04-15 01:05:00
ap-southeast-1,T4,Free,Web App Hosting,User_Stopped,66.3,31,32,122.34,93.74,2026-02-28 18:53:00,2026-03-03 13:11:00
us-east-1,A100 80GB,Enterprise,Relational Database,User_Stopped,20.6,48,16,118.74,98.69,2026-02-06 17:57:00,2026-02-07 14:33:00
eu-central-1,CPU-Only,Free,PyTorch Training,CUDA_Out_Of_Memory,48.1,65,16,128.37,4.72,2026-03-11 00:34:00,2026-03-13 00:40:00
eu-central-1,CPU-Only,Pro,ComfyUI / Stable Diffusion,Out_of_Credit,22.6,94,16,54.72,117.09,2026-03-21 03:50:00,2026-03-22 02:26:00
ap-southeast-1,RTX 4090,Free,PyTorch Training,Hardware_Fault,57.6,67,16,135.47,29.25,2026-03-12 06:30:00,2026-03-14 16:06:00
eu-central-1,RTX 4090,Enterprise,Relational Database,User_Stopped,37.7,32,64,32.37,125.93,2026-02-24 10:23:00,2026-02-26 00:05:00
eu-central-1,RTX 4090,Free,Relational Database,Hardware_Fault,58.3,73,64,23.1,2.18,2026-01-04 07:02:00,2026-01-06 17:20:00
us-east-1,A100 80GB,Enterprise,ComfyUI / Stable Diffusion,Out_of_Credit,50.4,47,64,192.25,35.18,2026-04-09 16:17:00,2026-04-11 18:41:00
ap-southeast-1,RTX 4090,Enterprise,Relational Database,Hardware_Fault,35.9,75,16,38.4,95.21,2026-01-28 04:54:00,2026-01-29 16:48:00
us-east-1,RTX 4090,Free,ComfyUI / Stable Diffusion,CUDA_Out_Of_Memory,52.3,67,16,54.16,126.4,2026-03-09 12:23:00,2026-03-11 16:41:00
eu-central-1,CPU-Only,Pro,PyTorch Training,User_Stopped,29.4,69,16,129.73,21.17,2026-04-05 00:31:00,2026-04-06 05:55:00
ap-southeast-1,RTX 4090,Enterprise,Web App Hosting,Hardware_Fault,59.8,58,32,217.93,41.72,2026-04-17 10:02:00,2026-04-19 21:50:00
eu-central-1,A100 80GB,Pro,Web App Hosting,Out_of_Credit,30.9,18,16,204.24,143.02,2026-03-02 18:22:00,2026-03-04 01:16:00
eu-central-1,CPU-Only,Pro,Relational Database,CUDA_Out_Of_Memory,6.8,90,32,52.69,3.51,2026-02-06 02:35:00,2026-02-06 09:23:00
ap-southeast-1,CPU-Only,Enterprise,Web App Hosting,User_Stopped,70.7,77,32,190.44,104.78,2026-03-14 21:30:00,2026-03-17 20:12:00
eu-central-1,RTX 4090,Pro,Web App Hosting,Out_of_Credit,44.3,84,128,31.0,56.39,2026-04-17 00:14:00,2026-04-18 20:32:00
ap-southeast-1,CPU-Only,Enterprise,Web App Hosting,User_Stopped,40.4,92,64,30.63,146.72,2026-04-04 15:08:00,2026-04-06 07:32:00
us-east-1,RTX 4090,Pro,ComfyUI / Stable Diffusion,User_Stopped,6.9,30,16,125.01,128.96,2026-03-17 07:44:00,2026-03-17 14:38:00
ap-southeast-1,CPU-Only,Enterprise,Relational Database,Hardware_Fault,8.3,4,16,49.43,45.05,2026-03-11 01:10:00,2026-03-11 09:28:00
eu-central-1,A100 80GB,Enterprise,ComfyUI / Stable Diffusion,User_Stopped,1.6,74,64,142.42,114.44,2026-02-13 07:14:00,2026-02-13 08:50:00
eu-central-1,T4,Enterprise,ComfyUI / Stable Diffusion,CUDA_Out_Of_Memory,13.4,58,32,214.71,63.75,2026-04-10 09:25:00,2026-04-10 22:49:00
us-east-1,T4,Enterprise,ComfyUI / Stable Diffusion,Out_of_Credit,59.0,1,32,230.66,147.23,2026-04-24 18:52:00,2026-04-27 05:52:00
us-east-1,A100 80GB,Free,ComfyUI / Stable Diffusion,Out_of_Credit,20.1,33,64,64.69,57.74,2026-04-30 07:18:00,2026-05-01 03:24:00
eu-central-1,A100 80GB,Free,ComfyUI / Stable Diffusion,Out_of_Credit,10.5,74,128,246.16,10.23,2026-03-13 06:23:00,2026-03-13 16:53:00
ap-southeast-1,T4,Free,Relational Database,Hardware_Fault,36.8,55,128,58.57,143.55,2026-04-28 12:32:00,2026-04-30 01:20:00
us-east-1,RTX 4090,Pro,Web App Hosting,Out_of_Credit,25.6,57,16,69.77,108.76,2026-02-28 04:29:00,2026-03-01 06:05:00
