TransactionDate,Revenue
2022-05-23,3261.55
2022-05-24,3784.78
2022-05-25,3792.66
2022-05-26,3934.28
2022-05-27,3313.41
2022-05-28,3272.86
2022-05-29,3809.83
2022-05-30,3726.35
2022-05-31,3696.16
2022-06-01,3708.47
2022-06-02,3383.82
2022-06-03,3640.57
2022-06-04,3641.67
2022-06-05,3322.08
2022-06-06,4078.56
2022-06-07,3643.22
2022-06-08,3125.73
2022-06-09,3661.96
2022-06-10,3154.29
2022-06-11,3664.35
2022-06-12,3757.17
2022-06-13,3144.59
2022-06-14,3660.88
2022-06-15,3476.62
2022-06-16,3580.2
2022-06-17,3883.29
2022-06-18,3221.18
2022-06-19,3049.12
2022-06-20,2988.72
2022-06-21,2991.07
2022-06-22,3192.84
2022-06-23,3298.38
2022-06-24,3259.04
2022-06-25,3404.12
2022-06-26,3139.74
2022-06-27,3551.73
2022-06-28,3016.05
2022-06-29,3891.25
2022-06-30,3242.61
2022-07-01,2777.47
2022-07-02,2693.03
2022-07-03,3138.72
2022-07-04,2906.63
2022-07-05,3167.56
2022-07-06,3075.04
2022-07-07,2890.96
2022-07-08,2638.54
2022-07-09,2417.94
2022-07-10,2718.3
2022-07-11,3089.09
2022-07-12,2876.38
2022-07-13,2418.49
2022-07-14,2824.29
2022-07-15,2868.15
2022-07-16,2467.71
2022-07-17,2759.4
2022-07-18,2711.26
2022-07-19,2331.55
2022-07-20,2762.54
2022-07-21,2804.33
2022-07-22,2942.04
2022-07-23,2914.44
2022-07-24,2166.32
2022-07-25,2279.76
2022-07-26,2697.27
2022-07-27,2678.72
2022-07-28,2661.11
2022-07-29,3644.61
2022-07-30,2642.45
2022-07-31,2794.44
2022-08-01,2722.77
2022-08-02,2615.0
2022-08-03,2308.24
2022-08-04,2613.98
2022-08-05,2138.14
2022-08-06,2282.88
2022-08-07,2192.5
2022-08-08,2347.12
2022-08-09,3001.65
2022-08-10,1732.04
2022-08-11,2483.34
2022-08-12,1779.16
2022-08-13,2107.2
2022-08-14,2561.56
2022-08-15,2240.54
2022-08-16,1884.62
2022-08-17,1980.35
2022-08-18,2386.13
2022-08-19,1950.76
2022-08-20,2222.76
2022-08-21,2159.77
2022-08-22,1939.23
2022-08-23,2766.84
2022-08-24,2303.12
2022-08-25,1495.04
2022-08-26,2148.51
2022-08-27,1884.39
2022-08-28,2329.37
2022-08-29,1826.96
2022-08-30,2021.74
2022-08-31,2199.48
2022-09-01,2299.91
2022-09-02,1672.68
2022-09-03,1925.39
2022-09-04,1876.61
2022-09-05,1816.85
2022-09-06,2536.63
2022-09-07,2123.04
2022-09-08,1618.24
2022-09-09,2267.22
2022-09-10,2624.28
2022-09-11,2293.56
2022-09-12,1524.6
2022-09-13,1832.16
2022-09-14,2354.94
2022-09-15,1760.43
2022-09-16,2104.16
2022-09-17,2202.12
2022-09-18,1690.79
2022-09-19,1950.58
2022-09-20,996.07
2022-09-21,1661.57
2022-09-22,1893.99
2022-09-23,1596.74
2022-09-24,2462.55
2022-09-25,1545.98
2022-09-26,1845.64
2022-09-27,2019.95
2022-09-28,2416.63
2022-09-29,1557.44
2022-09-30,2341.56
2022-10-01,2000.52
2022-10-02,1708.29
2022-10-03,2147.11
2022-10-04,2074.37
2022-10-05,1841.21
2022-10-06,2049.28
2022-10-07,1920.26
2022-10-08,2077.85
2022-10-09,2250.83
2022-10-10,2536.83
2022-10-11,1698.95
2022-10-12,2719.91
2022-10-13,1504.52
2022-10-14,2055.2
2022-10-15,2288.25
2022-10-16,2207.5
2022-10-17,1948.27
2022-10-18,2084.96
2022-10-19,2012.23
2022-10-20,1996.48
2022-10-21,2441.76
2022-10-22,2307.99
2022-10-23,2007.43
2022-10-24,2500.02
2022-10-25,2337.58
2022-10-26,2504.91
2022-10-27,2466.0
2022-10-28,2044.89
2022-10-29,2142.4
2022-10-30,2551.91
2022-10-31,2528.49
2022-11-01,2357.16
2022-11-02,2417.06
2022-11-03,2783.98
2022-11-04,2242.4
2022-11-05,2603.57
2022-11-06,2398.72
2022-11-07,2414.38
2022-11-08,2829.98
2022-11-09,2768.99
2022-11-10,2786.79
2022-11-11,2956.11
2022-11-12,2592.83
2022-11-13,2813.51
2022-11-14,2538.58
2022-11-15,2751.97
2022-11-16,2639.06
2022-11-17,2730.9
2022-11-18,2904.36
2022-11-19,2504.67
2022-11-20,3402.47
2022-11-21,2497.86
2022-11-22,2460.62
2022-11-23,3197.79
2022-11-24,3113.62
2022-11-25,3089.4
2022-11-26,3116.96
2022-11-27,2951.35
2022-11-28,2712.66
2022-11-29,3031.63
2022-11-30,2833.04
2022-12-01,3356.26
2022-12-02,3047.37
2022-12-03,2871.82
2022-12-04,3051.25
2022-12-05,3299.95
2022-12-06,3035.56
2022-12-07,2986.8
2022-12-08,3335.56
2022-12-09,3365.11
2022-12-10,3168.87
2022-12-11,3209.15
2022-12-12,3449.73
2022-12-13,2975.51
2022-12-14,3017.65
2022-12-15,3254.45
2022-12-16,3436.17
2022-12-17,3623.83
2022-12-18,4003.62
2022-12-19,3848.88
2022-12-20,3574.27
2022-12-21,3647.31
2022-12-22,3383.11
2022-12-23,3709.24
2022-12-24,3659.19
2022-12-25,3873.66
2022-12-26,3559.79
2022-12-27,3994.92
2022-12-28,4330.14
2022-12-29,3868.93
2022-12-30,4053.33
2022-12-31,4171.13
2023-01-01,3875.01
2023-01-02,4093.89
2023-01-03,4061.72
2023-01-04,4118.52
2023-01-05,3888.56
2023-01-06,4159.03
2023-01-07,4332.26
2023-01-08,4649.35
2023-01-09,4532.87
2023-01-10,4922.07
2023-01-11,4076.88
2023-01-12,4599.66
2023-01-13,4423.78
2023-01-14,5056.43
2023-01-15,4187.62
2023-01-16,4208.71
2023-01-17,4311.21
2023-01-18,3884.15
2023-01-19,4393.75
2023-01-20,4353.77
2023-01-21,4656.51
2023-01-22,4743.66
2023-01-23,5233.56
2023-01-24,4985.26
2023-01-25,4556.31
2023-01-26,4488.93
2023-01-27,4934.93
2023-01-28,4419.98
2023-01-29,5393.99
2023-01-30,5226.69
2023-01-31,4760.19
2023-02-01,4414.88
2023-02-02,5362.63
2023-02-03,4949.52
2023-02-04,5382.41
2023-02-05,4559.67
2023-02-06,4884.88
2023-02-07,5092.69
2023-02-08,5131.38
2023-02-09,5008.17
2023-02-10,5355.67
2023-02-11,4873.88
2023-02-12,5176.51
2023-02-13,5280.08
2023-02-14,5422.79
2023-02-15,5506.11
2023-02-16,4979.09
2023-02-17,4879.79
2023-02-18,5746.55
2023-02-19,5485.84
2023-02-20,5184.17
2023-02-21,5896.29
2023-02-22,5487.54
2023-02-23,5828.18
2023-02-24,5515.84
2023-02-25,6134.65
2023-02-26,6063.52
2023-02-27,5482.35
2023-02-28,5868.26
2023-03-01,5789.78
2023-03-02,6025.77
2023-03-03,5344.33
2023-03-04,5857.86
2023-03-05,5987.43
2023-03-06,5159.74
2023-03-07,5349.45
2023-03-08,5109.33
2023-03-09,5656.54
2023-03-10,5968.49
2023-03-11,6219.39
2023-03-12,5805.96
2023-03-13,6286.94
2023-03-14,5398.54
2023-03-15,5315.35
2023-03-16,5823.08
2023-03-17,5967.91
2023-03-18,5855.41
2023-03-19,5257.08
2023-03-20,5862.24
2023-03-21,5508.87
2023-03-22,6111.91
2023-03-23,6031.36
2023-03-24,5649.34
2023-03-25,5786.64
2023-03-26,5632.08
2023-03-27,5939.66
2023-03-28,6253.17
2023-03-29,5678.64
2023-03-30,6132.86
2023-03-31,5829.41
2023-04-01,5757.03
2023-04-02,5968.73
2023-04-03,5695.78
2023-04-04,5845.33
2023-04-05,5656.69
2023-04-06,6609.65
2023-04-07,6034.55
2023-04-08,5817.35
2023-04-09,6094.31
2023-04-10,5998.83
2023-04-11,5968.21
2023-04-12,6220.28
2023-04-13,6264.38
2023-04-14,5878.64
2023-04-15,5865.26
2023-04-16,5955.28
2023-04-17,5346.58
2023-04-18,5581.53
2023-04-19,6444.64
2023-04-20,6526.14
2023-04-21,5955.59
2023-04-22,6200.5
2023-04-23,6117.71
2023-04-24,6944.39
2023-04-25,6352.57
2023-04-26,5973.89
2023-04-27,5720.76
2023-04-28,5520.24
2023-04-29,6057.56
2023-04-30,5763.57
2023-05-01,5557.36
2023-05-02,5783.22
2023-05-03,5645.51
2023-05-04,6468.5
2023-05-05,6218.86
2023-05-06,5943.61
2023-05-07,6381.25
2023-05-08,5951.37
2023-05-09,5660.31
2023-05-10,6365.8
2023-05-11,6060.35
2023-05-12,5576.97
2023-05-13,5820.16
2023-05-14,5603.35
2023-05-15,5439.64
2023-05-16,6120.44
2023-05-17,6403.2
2023-05-18,5398.27
2023-05-19,5973.88
2023-05-20,5596.64
2023-05-21,5632.23
2023-05-22,5586.89
2023-05-23,5491.36
2023-05-24,5750.77
2023-05-25,5472.31
2023-05-26,5787.83
2023-05-27,5676.46
2023-05-28,5604.41
2023-05-29,5388.14
2023-05-30,5471.44
2023-05-31,5854.91
2023-06-01,5762.15
2023-06-02,5301.95
2023-06-03,5608.15
2023-06-04,5786.67
2023-06-05,5043.12
2023-06-06,5689.44
2023-06-07,5309.94
2023-06-08,5662.01
2023-06-09,5243.77
2023-06-10,4913.02
2023-06-11,4947.79
2023-06-12,5431.88
2023-06-13,5476.63
2023-06-14,5108.52
2023-06-15,5552.35
2023-06-16,4843.14
2023-06-17,5302.47
2023-06-18,4939.57
2023-06-19,5087.79
2023-06-20,5277.92
2023-06-21,4985.84
2023-06-22,5108.77
2023-06-23,5506.11
2023-06-24,5011.18
2023-06-25,5414.9
2023-06-26,4805.17
2023-06-27,5282.86
2023-06-28,5536.18
2023-06-29,4341.97
2023-06-30,4824.12
2023-07-01,5216.01
2023-07-02,4961.66
2023-07-03,5113.6
2023-07-04,4800.75
2023-07-05,4987.61
2023-07-06,4894.64
2023-07-07,5271.41
2023-07-08,4977.16
2023-07-09,4981.92
2023-07-10,4736.92
2023-07-11,4694.11
2023-07-12,4690.58
2023-07-13,4918.72
2023-07-14,4654.2
2023-07-15,4847.63
2023-07-16,5363.6
2023-07-17,4982.7
2023-07-18,4604.05
2023-07-19,5042.83
2023-07-20,4540.77
2023-07-21,4032.62
2023-07-22,4322.62
2023-07-23,4044.95
2023-07-24,4482.02
2023-07-25,4574.45
2023-07-26,5053.46
2023-07-27,4630.39
2023-07-28,4448.55
2023-07-29,4745.25
2023-07-30,3815.42
2023-07-31,4531.99
2023-08-01,4675.31
2023-08-02,3983.44
2023-08-03,4753.32
2023-08-04,4495.15
2023-08-05,4252.65
2023-08-06,4550.95
2023-08-07,5026.45
2023-08-08,4384.18
2023-08-09,4388.72
2023-08-10,4161.35
2023-08-11,4029.37
2023-08-12,4518.87
2023-08-13,3998.68
2023-08-14,4262.99
2023-08-15,4084.53
2023-08-16,4358.14
2023-08-17,4301.46
2023-08-18,4499.85
2023-08-19,4023.13
2023-08-20,4083.04
2023-08-21,3858.57
2023-08-22,4007.44
2023-08-23,4242.78
2023-08-24,4345.89
2023-08-25,3831.69
2023-08-26,4359.13
2023-08-27,4495.2
2023-08-28,4203.16
2023-08-29,4633.15
2023-08-30,3829.33
2023-08-31,3679.8
2023-09-01,3511.68
2023-09-02,4486.6
2023-09-03,4226.97
2023-09-04,4007.24
2023-09-05,4101.56
2023-09-06,3673.98
2023-09-07,4739.8
2023-09-08,4039.69
2023-09-09,4029.0
2023-09-10,4209.58
2023-09-11,4132.23
2023-09-12,4051.59
2023-09-13,3744.19
2023-09-14,4120.11
2023-09-15,4541.03
2023-09-16,4378.23
2023-09-17,4451.16
2023-09-18,3818.88
2023-09-19,3674.82
2023-09-20,3933.87
2023-09-21,3988.65
2023-09-22,4300.96
2023-09-23,3466.17
2023-09-24,4434.41
2023-09-25,3930.23
2023-09-26,3852.09
2023-09-27,3679.49
2023-09-28,3490.07
2023-09-29,4237.32
2023-09-30,4016.66
2023-10-01,3612.41
2023-10-02,3616.05
2023-10-03,3909.47
2023-10-04,4516.97
2023-10-05,3944.9
2023-10-06,3578.79
2023-10-07,3963.41
2023-10-08,3963.15
2023-10-09,3244.18
2023-10-10,4045.68
2023-10-11,4001.85
2023-10-12,4289.6
2023-10-13,4645.46
2023-10-14,4439.22
2023-10-15,4031.49
2023-10-16,3791.54
2023-10-17,4907.28
2023-10-18,4165.24
2023-10-19,4164.28
2023-10-20,4165.92
2023-10-21,4246.07
2023-10-22,4157.23
2023-10-23,4042.76
2023-10-24,4065.53
2023-10-25,4234.91
2023-10-26,4097.27
2023-10-27,4062.41
2023-10-28,4324.56
2023-10-29,4232.91
2023-10-30,4777.76
2023-10-31,3548.84
2023-11-01,4689.53
2023-11-02,4754.24
2023-11-03,3777.12
2023-11-04,4315.43
2023-11-05,4326.28
2023-11-06,4035.3
2023-11-07,4244.43
2023-11-08,4165.17
2023-11-09,5044.96
2023-11-10,4821.27
2023-11-11,4943.66
2023-11-12,4800.68
2023-11-13,4267.78
2023-11-14,4471.79
2023-11-15,4798.94
2023-11-16,4308.79
2023-11-17,4912.95
2023-11-18,4650.89
2023-11-19,4634.78
2023-11-20,4985.06
2023-11-21,4929.89
2023-11-22,4713.45
2023-11-23,5194.96
2023-11-24,4548.54
2023-11-25,5083.61
2023-11-26,5102.99
2023-11-27,4858.69
2023-11-28,5076.15
2023-11-29,4629.97
2023-11-30,5309.75
2023-12-01,5004.55
2023-12-02,4930.91
2023-12-03,5430.36
2023-12-04,4932.49
2023-12-05,4749.61
2023-12-06,4733.71
2023-12-07,5411.26
2023-12-08,4874.26
2023-12-09,5813.95
2023-12-10,4692.23
2023-12-11,5855.2
2023-12-12,5439.19
2023-12-13,5376.65
2023-12-14,5272.11
2023-12-15,5585.39
2023-12-16,5484.55
2023-12-17,5857.15
2023-12-18,5590.86
2023-12-19,5632.22
2023-12-20,5508.69
2023-12-21,5631.43
2023-12-22,5771.68
2023-12-23,5197.2
2023-12-24,5336.77
2023-12-25,5995.25
2023-12-26,5854.63
2023-12-27,5779.33
2023-12-28,5871.25
2023-12-29,6001.22
2023-12-30,5766.27
2023-12-31,5725.98
2024-01-01,6049.51
2024-01-02,5728.53
2024-01-03,6175.8
2024-01-04,5573.82
2024-01-05,6424.6
2024-01-06,6288.86
2024-01-07,6255.08
2024-01-08,6504.23
2024-01-09,6740.17
2024-01-10,6575.88
2024-01-11,5750.28
2024-01-12,5949.58
2024-01-13,6176.83
2024-01-14,6402.85
2024-01-15,6580.96
2024-01-16,6238.49
2024-01-17,6542.67
2024-01-18,6290.34
2024-01-19,6363.7
2024-01-20,6155.21
2024-01-21,6330.16
2024-01-22,6231.4
2024-01-23,6373.77
2024-01-24,7012.09
2024-01-25,6440.47
2024-01-26,7544.12
2024-01-27,6931.34
2024-01-28,6867.55
2024-01-29,6583.14
2024-01-30,7079.09
2024-01-31,6724.45
2024-02-01,6961.67
2024-02-02,7720.8
2024-02-03,6951.43
2024-02-04,7352.27
2024-02-05,6823.54
2024-02-06,7050.74
2024-02-07,7618.98
2024-02-08,6925.88
2024-02-09,7683.68
2024-02-10,7377.96
2024-02-11,7022.31
2024-02-12,7405.91
2024-02-13,7532.79
2024-02-14,7452.11
2024-02-15,6818.74
2024-02-16,7095.61
2024-02-17,7263.11
2024-02-18,7338.34
2024-02-19,7569.85
2024-02-20,7459.61
2024-02-21,7028.02
2024-02-22,7564.66
2024-02-23,7655.41
2024-02-24,7661.46
2024-02-25,7838.69
2024-02-26,7785.2
2024-02-27,7692.99
2024-02-28,7554.04
2024-02-29,7096.27
2024-03-01,7742.55
2024-03-02,7694.69
2024-03-03,7732.19
2024-03-04,7285.65
2024-03-05,7361.91
2024-03-06,8019.34
2024-03-07,7708.3
2024-03-08,7940.99
2024-03-09,7761.0
2024-03-10,7776.98
2024-03-11,8064.69
2024-03-12,7643.13
2024-03-13,7841.09
2024-03-14,7687.47
2024-03-15,7709.29
2024-03-16,7759.94
2024-03-17,7931.96
2024-03-18,7733.9
2024-03-19,8266.03
2024-03-20,7632.26
2024-03-21,7855.49
2024-03-22,7790.11
2024-03-23,8366.16
2024-03-24,8000.63
2024-03-25,8260.38
2024-03-26,7513.88
2024-03-27,8047.94
2024-03-28,8242.56
2024-03-29,8007.75
2024-03-30,8309.66
2024-03-31,7841.34
2024-04-01,8425.4
2024-04-02,8697.89
2024-04-03,7904.55
2024-04-04,7884.48
2024-04-05,8458.44
2024-04-06,8500.15
2024-04-07,7872.82
2024-04-08,7906.59
2024-04-09,7950.63
2024-04-10,7633.91
2024-04-11,7763.3
2024-04-12,7738.85
2024-04-13,7810.52
2024-04-14,8030.79
2024-04-15,8111.36
2024-04-16,8505.71
2024-04-17,7740.08
2024-04-18,8333.49
2024-04-19,7972.18
2024-04-20,8019.29
2024-04-21,8233.91
2024-04-22,7691.56
2024-04-23,8139.59
2024-04-24,8070.88
2024-04-25,8164.35
2024-04-26,8098.62
2024-04-27,8743.31
2024-04-28,7809.85
2024-04-29,7835.93
2024-04-30,7801.94
2024-05-01,7815.5
2024-05-02,7783.8
2024-05-03,8324.2
2024-05-04,8385.76
2024-05-05,7780.11
2024-05-06,7692.98
2024-05-07,8075.1
2024-05-08,7758.62
2024-05-09,8104.43
2024-05-10,7965.33
2024-05-11,7439.28
2024-05-12,8347.46
2024-05-13,8410.84
2024-05-14,7676.76
2024-05-15,7732.48
2024-05-16,7922.42
2024-05-17,7924.54
2024-05-18,8009.0
2024-05-19,8401.41
2024-05-20,7731.88
2024-05-21,7531.79
2024-05-22,7343.5
2024-05-23,7523.75
2024-05-24,7718.54
2024-05-25,8252.01
2024-05-26,7543.26
2024-05-27,7750.32
2024-05-28,7662.63
2024-05-29,8008.2
2024-05-30,8393.64
2024-05-31,7459.94
2024-06-01,7455.77
2024-06-02,7899.03
2024-06-03,7773.31
2024-06-04,8105.5
2024-06-05,7709.21
2024-06-06,7408.58
2024-06-07,7675.72
2024-06-08,7813.09
2024-06-09,7708.41
2024-06-10,7596.06
2024-06-11,7745.32
2024-06-12,7757.4
2024-06-13,7802.4
2024-06-14,7563.36
2024-06-15,7299.46
2024-06-16,7374.34
2024-06-17,7672.89
2024-06-18,7046.35
2024-06-19,7382.42
2024-06-20,7134.1
2024-06-21,7240.92
2024-06-22,7595.95
2024-06-23,7249.77
2024-06-24,7186.34
2024-06-25,6744.36
2024-06-26,7356.04
2024-06-27,7305.61
2024-06-28,7740.7
2024-06-29,6979.12
2024-06-30,7116.91
2024-07-01,7105.67
2024-07-02,7483.77
2024-07-03,6961.63
2024-07-04,7053.61
2024-07-05,7131.98
2024-07-06,6985.32
2024-07-07,6775.16
2024-07-08,6947.11
2024-07-09,7190.81
2024-07-10,6540.65
2024-07-11,6868.44
2024-07-12,6598.53
2024-07-13,7147.18
2024-07-14,6311.88
2024-07-15,6581.42
2024-07-16,6842.62
2024-07-17,7179.58
2024-07-18,6670.78
2024-07-19,6504.64
2024-07-20,7216.37
2024-07-21,6198.58
2024-07-22,5954.45
2024-07-23,6727.34
2024-07-24,6426.13
2024-07-25,6251.94
2024-07-26,6752.56
2024-07-27,6595.11
2024-07-28,6334.85
2024-07-29,6102.27
2024-07-30,6730.59
2024-07-31,6646.61
2024-08-01,6404.7
2024-08-02,6971.57
2024-08-03,6079.9
2024-08-04,5926.85
2024-08-05,6160.75
2024-08-06,6338.71
2024-08-07,6409.7
2024-08-08,6248.9
2024-08-09,6411.72
2024-08-10,5915.74
2024-08-11,6709.71
2024-08-12,6237.6
2024-08-13,6583.38
2024-08-14,6337.24
2024-08-15,6357.99
2024-08-16,6378.73
2024-08-17,6329.27
2024-08-18,6375.24
2024-08-19,6568.95
2024-08-20,6217.27
2024-08-21,6359.46
2024-08-22,6108.62
2024-08-23,6556.69
2024-08-24,5911.2
2024-08-25,6644.22
2024-08-26,6082.06
2024-08-27,5655.4
2024-08-28,6113.96
2024-08-29,5862.48
2024-08-30,6310.62
2024-08-31,5854.65
2024-09-01,5908.97
2024-09-02,5468.74
2024-09-03,5893.07
2024-09-04,5295.16
2024-09-05,5541.1
2024-09-06,6238.75
2024-09-07,6241.11
2024-09-08,6128.17
2024-09-09,5706.0
2024-09-10,5977.76
2024-09-11,5987.38
2024-09-12,5637.76
2024-09-13,6433.51
2024-09-14,6243.35
2024-09-15,5911.93
2024-09-16,5984.78
2024-09-17,6038.16
2024-09-18,5362.48
2024-09-19,5900.63
2024-09-20,5770.41
2024-09-21,5675.18
2024-09-22,5892.43
2024-09-23,6517.6
2024-09-24,6172.52
2024-09-25,5811.33
2024-09-26,6157.31
2024-09-27,6408.64
2024-09-28,6269.96
2024-09-29,6014.64
2024-09-30,5807.29
2024-10-01,6215.91
2024-10-02,6130.0
2024-10-03,6286.47
2024-10-04,6214.86
2024-10-05,6346.02
2024-10-06,5877.87
2024-10-07,6441.39
2024-10-08,6113.62
2024-10-09,6685.53
2024-10-10,5865.24
2024-10-11,6602.28
2024-10-12,6150.79
2024-10-13,5906.36
2024-10-14,5967.42
2024-10-15,6027.72
2024-10-16,6262.74
2024-10-17,6304.43
2024-10-18,5988.0
2024-10-19,6165.75
2024-10-20,6829.11
2024-10-21,6718.49
2024-10-22,6345.34
2024-10-23,6240.47
2024-10-24,6280.12
2024-10-25,6443.62
2024-10-26,5968.59
2024-10-27,6214.49
2024-10-28,5807.79
2024-10-29,6445.2
2024-10-30,6537.06
2024-10-31,6215.8
2024-11-01,6851.19
2024-11-02,6029.89
2024-11-03,5977.31
2024-11-04,6503.34
2024-11-05,6769.89
2024-11-06,6981.06
2024-11-07,6358.7
2024-11-08,6840.81
2024-11-09,6526.86
2024-11-10,6508.17
2024-11-11,6846.95
2024-11-12,6799.78
2024-11-13,6153.73
2024-11-14,7092.51
2024-11-15,7086.8
2024-11-16,6508.65
2024-11-17,6838.91
2024-11-18,6892.55
2024-11-19,6847.01
2024-11-20,6628.48
2024-11-21,6617.15
2024-11-22,6836.31
2024-11-23,7221.42
2024-11-24,7058.59
2024-11-25,6810.49
2024-11-26,7179.62
2024-11-27,6120.23
2024-11-28,7346.36
2024-11-29,6507.0
2024-11-30,6947.6
2024-12-01,6748.08
2024-12-02,6723.45
2024-12-03,7488.19
2024-12-04,7027.93
2024-12-05,7300.7
2024-12-06,7211.37
2024-12-07,7397.45
2024-12-08,7306.46
2024-12-09,6927.77
2024-12-10,7640.96
2024-12-11,7223.54
2024-12-12,6934.43
2024-12-13,7302.86
2024-12-14,7911.55
2024-12-15,7746.54
2024-12-16,7417.17
2024-12-17,7447.39
2024-12-18,7486.2
2024-12-19,8236.33
2024-12-20,7758.6
2024-12-21,7803.84
2024-12-22,8014.8
2024-12-23,7808.32
2024-12-24,7689.99
2024-12-25,7739.89
2024-12-26,7808.45
2024-12-27,7849.95
2024-12-28,8110.62
2024-12-29,7939.17
2024-12-30,8174.64
